incorrect_sample_name,correct_sample_name
27-007-D2,27-007-D2
27-007-D3,13-008-D0
27-007-D4,13-008-D2
27-007-D5,13-008-D4
27-007-D6,23-006-D0
27-007-D7,23-006-D2
27-007-D8,23-006-D4
27-007-D9,10-024-D0
27-007-D10,10-024-D2
27-007-D11,18-018-D0
27-007-D12,01-021-D0
27-007-D48,01-021-D4
27-007-D13,01-020-D0
27-007-D14,01-019-D0
27-007-D15,18-018-D2
27-007-D16,18-018-D4
27-007-D17,26-013-D0
27-007-D18,26-013-D2
27-007-D19,26-013-D4
27-007-D20,10-002-D0
27-007-D21,10-002-D2
27-007-D22,10-002-D4
27-007-D23,16-027-D0
27-007-D24,16-027-D2
27-007-D25,16-027-D4
27-007-D26,10-008-D0
27-007-D27,10-008-D2
27-007-D28,10-008-D4
27-007-D29,20-009-D0
27-007-D30,20-009-D2
27-007-D31,20-009-D4
27-007-D32,06-004-D0
27-007-D33,06-004-D2
27-007-D34,06-004-D4
27-007-D35,18-002-D0
27-007-D36,16-014-D2
27-007-D37,23-002-D0
27-007-D38,23-002-D2
27-007-D39,23-002-D4
27-007-D40,02-015-D0 
27-007-D41,02-043-D0
27-007-D42,06-005-D0
27-007-D43,06-005-D2
27-007-D44,07-005-D0
27-007-D45,07-005-D2
27-007-D46,07-005-D4
27-007-D47,06-001-D2
